('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.297, 'Y : ', 6.345)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 36.972, 'Y : ', -68.672)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.927, 'Y : ', -107.289)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.196, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -19.189, 'Y : ', -10.495)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 0.411, 'Y : ', -160.608)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 15.922, 'Y : ', -369.481)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.705, 'Y : ', -204.048)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -20.867, 'Y : ', -192.204)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -6.719, 'Y : ', -192.204)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 15.688, 'Y : ', -240.583)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 35.404, 'Y : ', -70.294)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 28.301, 'Y : ', 41.321)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -20.858, 'Y : ', 71.831)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -46.777, 'Y : ', 70.353)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 16.878, 'Y : ', -135.367)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 1.237, 'Y : ', -2.641)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 3.162, 'Y : ', 20.077)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -19.12, 'Y : ', -77.968)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -31.401, 'Y : ', -30.955)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.918, 'Y : ', -76.083)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -16.762, 'Y : ', -47.219)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 5.644, 'Y : ', -21.464)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 28.104, 'Y : ', 12.233)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -13.66, 'Y : ', -54.21)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -21.53, 'Y : ', 21.557)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 26.365, 'Y : ', -5.928)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 26.365, 'Y : ', -23.011)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 1.071, 'Y : ', 27.656)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.071, 'Y : ', 17.15)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 3.728, 'Y : ', 22.134)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -3.766, 'Y : ', 33.125)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -3.129, 'Y : ', -39.624)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 7.023, 'Y : ', -39.624)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -3.108, 'Y : ', -8.885)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 1.743, 'Y : ', -49.997)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 16.992, 'Y : ', -36.887)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 12.293, 'Y : ', -36.887)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 34.288, 'Y : ', -0.25)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 0.631, 'Y : ', -10.909)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 38.09, 'Y : ', -28.155)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -23.891, 'Y : ', 17.27)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.894, 'Y : ', -122.018)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -10.91, 'Y : ', -56.932)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 16.222, 'Y : ', 28.921)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 23.345, 'Y : ', -100.876)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -10.708, 'Y : ', -46.083)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 52.774, 'Y : ', -101.406)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 2.845, 'Y : ', -163.581)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -15.235, 'Y : ', -163.581)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 20.087, 'Y : ', -134.441)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 15.143, 'Y : ', -36.441)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.255, 'Y : ', -117.589)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 30.628, 'Y : ', -93.684)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 57.49, 'Y : ', -106.976)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -14.219, 'Y : ', 7.314)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.918, 'Y : ', -35.817)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 18.353, 'Y : ', -11.157)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 28.07, 'Y : ', -25.408)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -7.357, 'Y : ', -25.408)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -18.538, 'Y : ', 14.724)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.918, 'Y : ', -21.201)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -6.391, 'Y : ', -7.832)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -8.475, 'Y : ', 8.515)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -2.35, 'Y : ', -1.928)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 19.987, 'Y : ', -51.863)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -48.354, 'Y : ', -64.111)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -53.329, 'Y : ', 20.973)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.772, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -25.271, 'Y : ', 29.417)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -23.558, 'Y : ', 52.191)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 22.641, 'Y : ', 16.322)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -18.978, 'Y : ', 18.697)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -14.461, 'Y : ', -7.646)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 6.068, 'Y : ', 26.098)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 18.067, 'Y : ', 5.145)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 37.514, 'Y : ', 4.85)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 36.039, 'Y : ', -98.43)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.841, 'Y : ', -99.539)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -1.422, 'Y : ', 9.438)
