('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 26.453, 'Y : ', -16.52)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.426, 'Y : ', -54.033)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -7.636, 'Y : ', -60.049)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 26.453, 'Y : ', -16.52)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 1.426, 'Y : ', -54.033)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -7.636, 'Y : ', -60.049)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 10.069, 'Y : ', -38.501)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 7.59, 'Y : ', -7.208)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 26.453, 'Y : ', -16.52)




('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 15.352, 'Y : ', -21.295)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 28.817, 'Y : ', -16.823)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -7.127, 'Y : ', -2.274)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 15.352, 'Y : ', -21.295)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 28.817, 'Y : ', -16.823)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -7.127, 'Y : ', -2.274)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.463, 'Y : ', -11.067)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 9.199, 'Y : ', 2.358)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 15.352, 'Y : ', -21.295)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -3.688, 'Y : ', -10.988)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -9.292, 'Y : ', -1.22)








('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -3.688, 'Y : ', -10.988)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -9.292, 'Y : ', -1.22)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.463, 'Y : ', -6.155)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -4.248, 'Y : ', 0.042)
('Kalman MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -3.203, 'Y : ', -4.759)


('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -1.178, 'Y : ', -1.43)
('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -3.688, 'Y : ', -10.988)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -9.292, 'Y : ', -1.22)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.463, 'Y : ', -6.155)
